I_up	B_up	B_up_err	I_down	B_down	B_down_err	I_down_neg	B_down_neg	B_down_neg_err	I_up_neg	B_up_neg	B_up_neg_err
0	0.01709	0.00001	8.67	0.864	0.001	0	0.01557	0.00001	-8.28	-0.843	0.001
0.11	0.02951	0.00001	8.55	0.857	0.001	-0.1	0.00419	0.00001	-8.17	-0.839	0.001
0.21	0.0411	0.0001	8.43	0.854	0.001	-0.2	-0.00942	0.00001	-8.06	-0.834	0.001
0.32	0.053	0.0001	8.32	0.849	0.001	-0.3	-0.02206	0.00001	-7.96	-0.829	0.001
0.42	0.0657	0.0001	8.21	0.845	0.001	-0.39	-0.034	0.0001	-7.86	-0.825	0.001
0.52	0.0775	0.0001	8.11	0.84	0.001	-0.48	-0.0458	0.0001	-7.75	-0.819	0.001
0.64	0.0915	0.0001	7.95	0.833	0.001	-0.57	-0.0587	0.0001	-7.64	-0.814	0.001
0.73	0.1038	0.0001	7.83	0.827	0.001	-0.67	-0.0721	0.0001	-7.54	-0.809	0.001
0.84	0.1168	0.0001	7.73	0.822	0.001	-0.77	-0.0861	0.0001	-7.42	-0.804	0.001
0.95	0.1309	0.0001	7.62	0.817	0.001	-0.87	-0.0996	0.0001	-7.33	-0.798	0.001
1.05	0.1442	0.0001	7.52	0.812	0.001	-0.98	-0.1139	0.0001	-7.22	-0.793	0.001
1.17	0.1587	0.0001	7.42	0.807	0.001	-1.08	-0.1278	0.0001	-7.13	-0.788	0.001
1.27	0.1722	0.0001	7.31	0.801	0.001	-1.19	-0.1414	0.0001	-7.02	-0.782	0.001
1.38	0.1863	0.0001	7.2	0.795	0.001	-1.28	-0.1544	0.0001	-6.92	-0.776	0.001
1.48	0.2007	0.0001	7.1	0.79	0.001	-1.39	-0.168	0.0001	-6.82	-0.77	0.001
1.59	0.2142	0.0001	6.99	0.784	0.001	-1.49	-0.182	0.0001	-6.72	-0.764	0.001
1.69	0.2283	0.0001	6.89	0.778	0.001	-1.59	-0.1955	0.0001	-6.61	-0.758	0.001
1.8	0.2424	0.0001	6.78	0.771	0.001	-1.68	-0.208	0.0001	-6.52	-0.752	0.001
1.9	0.256	0.0001	6.68	0.766	0.001	-1.78	-0.2212	0.0001	-6.42	-0.746	0.001
2.01	0.2702	0.0001	6.57	0.759	0.001	-1.9	-0.2359	0.0001	-6.31	-0.739	0.001
2.11	0.2837	0.0001	6.48	0.753	0.001	-2	-0.2491	0.0001	-6.22	-0.732	0.001
2.22	0.2972	0.0001	6.37	0.746	0.001	-2.1	-0.2621	0.0001	-6.12	-0.726	0.001
2.32	0.313	0.001	6.27	0.739	0.001	-2.2	-0.2754	0.0001	-6.02	-0.718	0.001
2.43	0.325	0.001	6.16	0.731	0.001	-2.29	-0.2876	0.0001	-5.92	-0.71	0.001
2.53	0.339	0.001	6.06	0.724	0.001	-2.4	-0.301	0.001	-5.82	-0.704	0.001
2.64	0.352	0.001	5.96	0.717	0.001	-2.49	-0.313	0.001	-5.72	-0.7	0.001
2.74	0.366	0.001	5.85	0.71	0.001	-2.58	-0.325	0.001	-5.62	-0.688	0.001
2.85	0.378	0.001	5.75	0.702	0.001	-2.68	-0.337	0.001	-5.52	-0.68	0.001
2.96	0.392	0.001	5.65	0.694	0.001	-2.78	-0.35	0.001	-5.43	-0.671	0.001
3.07	0.405	0.001	5.55	0.685	0.001	-2.88	-0.363	0.001	-5.33	-0.664	0.001
3.17	0.417	0.001	5.45	0.677	0.001	-2.97	-0.373	0.001	-5.24	-0.656	0.001
3.27	0.43	0.001	5.34	0.669	0.001	-3.08	-0.388	0.001	-5.14	-0.647	0.001
3.38	0.442	0.001	5.23	0.659	0.001	-3.18	-0.401	0.001	-5.04	-0.638	0.001
3.48	0.454	0.001	5.14	0.651	0.001	-3.27	-0.413	0.001	-4.95	-0.629	0.001
3.58	0.466	0.001	5.04	0.642	0.001	-3.37	-0.424	0.001	-4.85	-0.62	0.001
3.69	0.479	0.001	4.93	0.631	0.001	-3.47	-0.437	0.001	-4.76	-0.611	0.001
3.79	0.49	0.001	4.83	0.622	0.001	-3.57	-0.449	0.001	-4.66	-0.601	0.001
3.89	0.502	0.001	4.73	0.612	0.001	-3.67	-0.461	0.001	-4.56	-0.59	0.001
4	0.513	0.001	4.63	0.602	0.001	-3.78	-0.474	0.001	-4.47	-0.582	0.001
4.1	0.524	0.001	4.53	0.592	0.001	-3.88	-0.486	0.001	-4.38	-0.573	0.001
4.2	0.535	0.001	4.44	0.583	0.001	-3.97	-0.497	0.001	-4.28	-0.563	0.001
4.31	0.547	0.001	4.34	0.573	0.001	-4.08	-0.509	0.001	-4.18	-0.553	0.001
4.41	0.558	0.001	4.23	0.561	0.001	-4.18	-0.52	0.001	-4.09	-0.544	0.001
4.52	0.568	0.001	4.13	0.55	0.001	-4.28	-0.532	0.001	-3.99	-0.532	0.001
4.62	0.58	0.001	4.04	0.54	0.001	-4.39	-0.545	0.001	-3.9	-0.522	0.001
4.73	0.59	0.001	3.93	0.529	0.001	-4.52	-0.559	0.001	-3.8	-0.511	0.001
4.83	0.601	0.001	3.84	0.518	0.001	-4.62	-0.57	0.001	-3.7	-0.501	0.001
4.94	0.612	0.001	3.73	0.506	0.001	-4.68	-0.577	0.001	-3.61	-0.49	0.001
5.04	0.622	0.001	3.65	0.497	0.001	-4.77	-0.586	0.001	-3.52	-0.479	0.001
5.11	0.632	0.001	3.55	0.485	0.001	-4.87	-0.597	0.001	-3.42	-0.468	0.001
5.24	0.642	0.001	3.44	0.473	0.001	-4.96	-0.606	0.001	-3.33	-0.457	0.001
5.35	0.652	0.001	3.35	0.462	0.001	-5.08	-0.619	0.001	-3.23	-0.445	0.001
5.46	0.661	0.001	3.24	0.449	0.001	-5.18	-0.629	0.001	-3.14	-0.434	0.001
5.56	0.671	0.001	3.15	0.437	0.001	-5.28	-0.639	0.001	-3.04	-0.421	0.001
5.67	0.681	0.001	3.05	0.425	0.001	-5.38	-0.649	0.001	-2.95	-0.41	0.001
5.76	0.689	0.001	2.95	0.413	0.001	-5.47	-0.657	0.001	-2.86	-0.398	0.001
5.87	0.697	0.001	2.86	0.401	0.001	-5.58	-0.667	0.001	-2.75	-0.385	0.001
5.97	0.706	0.001	2.76	0.389	0.001	-5.66	-0.676	0.001	-2.66	-0.373	0.001
6.08	0.714	0.001	2.65	0.375	0.001	-5.77	-0.684	0.001	-2.56	-0.361	0.001
6.18	0.722	0.001	2.55	0.362	0.001	-5.86	-0.692	0.001	-2.47	-0.349	0.001
6.28	0.73	0.001	2.45	0.349	0.001	-5.96	-0.7	0.001	-2.38	-0.337	0.001
6.39	0.737	0.001	2.35	0.336	0.001	-6.06	-0.706	0.001	-2.28	-0.324	0.001
6.48	0.744	0.001	2.26	0.323	0.001	-6.15	-0.714	0.001	-2.19	-0.312	0.001
6.56	0.75	0.001	2.15	0.31	0.001	-6.25	-0.721	0.001	-2.1	-0.3	0.001
6.67	0.757	0.001	2.05	0.2955	0.0001	-6.35	-0.728	0.001	-2	-0.2877	0.0001
6.77	0.763	0.001	1.94	0.282	0.0001	-6.45	-0.736	0.001	-1.9	-0.2748	0.0001
6.87	0.769	0.001	1.85	0.2691	0.0001	-6.54	-0.743	0.001	-1.81	-0.2629	0.0001
6.96	0.776	0.001	1.74	0.2543	0.0001	-6.65	-0.75	0.001	-1.72	-0.2501	0.0001
7.07	0.783	0.001	1.64	0.2414	0.0001	-6.74	-0.757	0.001	-1.62	-0.2365	0.0001
7.18	0.789	0.001	1.55	0.2285	0.0001	-6.83	-0.761	0.001	-1.53	-0.2245	0.0001
7.28	0.795	0.001	1.47	0.2169	0.0001	-6.93	-0.769	0.001	-1.43	-0.2112	0.0001
7.38	0.801	0.001	1.37	0.2042	0.0001	-7.03	-0.776	0.001	-1.34	-0.1988	0.0001
7.47	0.806	0.001	1.27	0.1907	0.0001	-7.13	-0.782	0.001	-1.24	-0.1854	0.0001
7.58	0.811	0.001	1.17	0.1776	0.0001	-7.23	-0.787	0.001	-1.15	-0.173	0.0001
