m_up	B_up	B_up_err	m_down	B_down	B_down_err	m_down_neg	B_down_neg	B_down_neg_err	m_up_neg	B_up_neg	B_up_neg_err
0	0.000275892	-3.322E-07	0.0314	0.708964	0.001684	-0.0088	0.0003066	3.502E-07	0.0251	0.670761	-0.001638
0	0.00000529	-0.000000046	0.0301	0.698896	0.001672	-0.0085	0.00002025	0.00000009	0.0247	0.662596	-0.001628
0	0.000120122	2.192E-07	0.0297	0.690561	0.001662	-0.0088	7.49956E-05	-1.732E-07	0.0242	0.654481	-0.001618
0	0.000620508	4.982E-07	0.0291	0.683929	0.001654	-0.0087	0.000448169	-4.234E-07	0.0237	0.648025	-0.00161
0	0.00153664	0.00000784	0.0288	0.675684	0.001644	-0.0088	0.001156	-0.0000068	0.0232	0.64	-0.0016
0.0001	0.00289444	0.00001076	0.0283	0.667489	0.001634	-0.0086	0.00221841	-0.00000942	0.0225	0.633616	-0.001592
0.0001	0.00451584	0.00001344	0.0277	0.659344	0.001624	-0.0086	0.00361201	-0.00001202	0.0223	0.625681	-0.001582
0.0001	0.00690561	0.00001662	0.0273	0.652864	0.001616	-0.0085	0.00528529	-0.00001454	0.0215	0.616225	-0.00157
0.0001	0.00900601	0.00001898	0.0268	0.644809	0.001606	-0.0084	0.00736164	-0.00001716	0.021	0.6084	-0.00156
0	0.01185921	0.00002178	0.0262	0.636804	0.001596	-0.0083	0.00972196	-0.00001972	0.0206	0.600625	-0.00155
0	0.01643524	0.00002564	0.0258	0.628849	0.001586	-0.0081	0.012544	-0.0000224	0.0201	0.591361	-0.001538
0	0.01860496	0.00002728	0.0252	0.619369	0.001574	-0.0078	0.01552516	-0.00002492	0.0197	0.583696	-0.001528
0	0.02226064	0.00002984	0.0245	0.609961	0.001562	-0.0077	0.01918225	-0.0000277	0.0192	0.574564	-0.001516
0	0.02660161	0.00003262	0.0236	0.602176	0.001552	-0.0075	0.02347024	-0.00003064	0.0187	0.567009	-0.001506
0	0.03143529	0.00003546	0.023	0.591361	0.001538	-0.0073	0.02683044	-0.00003276	0.0181	0.558009	-0.001494
0.0002	0.03640464	0.00003816	0.0225	0.582169	0.001526	-0.0071	0.03108169	-0.00003526	0.0174	0.549081	-0.001482
0.0003	0.04149369	0.00004074	0.0219	0.571536	0.001512	-0.0068	0.03568321	-0.00003778	0.0171	0.538756	-0.001468
0	0.04717584	0.00004344	0.0212	0.564001	0.001502	-0.0065	0.04072324	-0.00004036	0.0166	0.529984	-0.001456
0	0.05387041	0.00004642	0.0206	0.553536	0.001488	-0.0061	0.046225	-0.000043	0.0161	0.519841	-0.001442
0	0.06007401	0.00004902	0.0201	0.544644	0.001476	-0.0057	0.05180176	-0.00004552	0.0156	0.511225	-0.00143
0	0.06765201	0.00005202	0.0194	0.534361	0.001462	-0.0052	0.05968249	-0.00004086	0.0152	0.5041	-0.00142
