m_up	B_up	B_up_err	m_down	B_down	B_down_err
0	0.00028832	3.396E-07	0.0195	0.737881	0.001718
-0.0008	0.000126563	0.000000225	0.019	0.719104	0.001696
-0.0011	0.00155236	0.00000788	0.0188	0.703921	0.001678
-0.0012	0.00454276	0.00001348	0.0181	0.687241	0.001658
-0.0012	0.00925444	0.00001924	0.0172	0.670761	0.001638
-0.0015	0.01530169	0.00002474	0.0161	0.652864	0.001616
-0.0013	0.02304324	0.00003036	0.0157	0.635209	0.001594
-0.0012	0.03193369	0.00003574	0.0157	0.616225	0.00157
-0.0005	0.04272489	0.00004134	0.0144	0.597529	0.001546
-0.0008	0.05419584	0.00004656	0.0134	0.5776	0.00152
0	0.06801664	0.00005216	0.0131	0.558009	0.001494
0.0004	0.08346321	0.00005778	0.0126	0.537289	0.001466
0.0008	0.099856	0.000632	0.0123	0.5184	0.00144
0.0015	0.116964	0.000684	0.0105	0.497025	0.00141
0.002	0.137641	0.000742	0.0101	0.471969	0.001374
0.0026	0.157609	0.000794	0.0083	0.447561	0.001338
0.0032	0.178929	0.000846	0.0076	0.423801	0.001302
0.0036	0.201601	0.000898	0.0071	0.400689	0.001266
0.0042	0.224676	0.000948	0.006	0.375769	0.001226
0.0051	0.25	0.001	0.0053	0.351649	0.001186
0.0057	0.272484	0.001044	0.005	0.326041	0.001142
0.0062	0.299209	0.001094	0.0036	0.306916	0.001108
0.0073	0.322624	0.001136	0.0031	0.279841	0.001058
0.0077	0.349281	0.001182	0.0018	0.259081	0.001018
0.0087	0.374544	0.001224	0.0011	0.235225	0.00097
0.0098	0.404496	0.001272	-0.0002	0.2116	0.00092
0.0103	0.429025	0.00131	-0.0008	0.191844	0.000876
0.0113	0.451584	0.001344	-0.0014	0.170569	0.000826
0.012	0.477481	0.001382	-0.0018	0.150544	0.000776
0.0128	0.502681	0.001418	-0.0026	0.131769	0.000726
0.0133	0.524176	0.001448	-0.0033	0.114921	0.000678
0.0142	0.538756	0.001468	-0.004	0.097969	0.000626
0.0143	0.565504	0.001504	-0.0043	0.08014561	0.00005662
0.015	0.586756	0.001532	-0.0048	0.06574096	0.00005128
0.0158	0.606841	0.001558	-0.0053	0.05317636	0.00004612
0.0165	0.627264	0.001584	-0.006	0.04129024	0.00004064
0.0169	0.644809	0.001606	-0.0064	0.03189796	0.00003572
0.0174	0.662596	0.001628	-0.0058	0.02316484	0.00003044
0.0181	0.680625	0.00165	-0.0073	0.015376	0.0000248
0.0185	0.697225	0.00167	-0.0059	0.00950625	0.0000195
0.019	0.712336	0.001688	-0.0077	0.00519841	0.00001442
0.0194	0.727609	0.001706	-0.0058	0.00204304	0.00000904
0.0203	0.744769	0.001726	-0.0052	0.000312582	3.536E-07
0.0198	0.751689	0.001734			
