I_up	m_up	B_up	B_up_err	I_down	m_down	B_down	B_down_err	I_down_neg	m_down_neg	B_down_neg	B_down_neg_err	I_up_neg	m_up_neg	B_up_neg	B_up_neg_err
0	0	0.01586	0.00001	8.39	0.0315	0.777	0.001	0	0	0.01648	0.00001	-8.12	0.032	-0.762	0.001
0.21	0	0.0366	0.0001	8.17	0.0279	0.768	0.001	-0.2	0.0001	-0.00814	0.00001	-7.92	0.0293	-0.754	0.001
0.4	-0.0016	0.0572	0.0001	7.96	0.0275	0.758	0.001	-0.38	0.0009	-0.0319	0.00001	-7.72	0.0294	-0.746	0.001
0.6	-0.0007	0.079	0.0001	7.76	0.0251	0.749	0.001	-0.59	-0.0001	-0.0557	0.0001	-7.52	0.0286	-0.736	0.001
0.81	-0.0016	0.1016	0.0001	7.56	0.0227	0.74	0.001	-0.77	0.0014	-0.0789	0.0001	-7.33	0.0271	-0.728	0.001
1.01	-0.0003	0.1255	0.0001	7.35	0.0247	0.731	0.001	-0.97	0.0012	-0.1028	0.0001	-7.13	0.0285	-0.718	0.001
1.21	-0.0005	0.1488	0.0001	7.15	0.0255	0.721	0.001	-1.17	0.0022	-0.1269	0.0001	-6.94	0.0273	-0.708	0.001
1.4	0.0009	0.1728	0.0001	6.94	0.0259	0.71	0.001	-1.36	0.0034	-0.1514	0.0001	-6.74	0.0293	-0.697	0.001
1.6	0.0012	0.1966	0.0001	6.74	0.0245	0.699	0.001	-1.56	0.0034	-0.1748	0.0001	-6.54	0.0252	-0.686	0.001
1.8	0.0016	0.2208	0.0001	6.53	0.0234	0.688	0.001	-1.75	0.0038	-0.1981	0.0001	-6.34	0.0249	-0.675	0.001
2	0.0028	0.2448	0.0001	6.33	0.0232	0.676	0.001	-1.95	0.0052	-0.2212	0.0001	-6.15	0.0252	-0.663	0.001
2.21	0.0032	0.2683	0.0001	6.13	0.0211	0.664	0.001	-2.14	0.0061	-0.2449	0.0001	-5.95	0.0242	-0.651	0.001
2.4	0.0043	0.2918	0.0001	5.93	0.0205	0.65	0.001	-2.34	0.0065	-0.2677	0.0001	-5.76	0.0232	-0.636	0.001
2.6	0.0059	0.316	0.001	5.73	0.0205	0.637	0.001	-2.53	0.0079	-0.2912	0.0001	-5.57	0.0227	-0.623	0.001
2.83	0.0061	0.342	0.001	5.5	0.0181	0.62	0.001	-2.75	0.0076	-0.315	0.001	-5.37	0.0226	-0.608	0.001
3.03	0.0076	0.364	0.001	5.3	0.0189	0.605	0.001	-2.94	0.0115	-0.337	0.001	-5.18	0.0201	-0.593	0.001
3.23	0.0079	0.387	0.001	5.1	0.018	0.588	0.001	-3.14	0.0118	-0.359	0.001	-4.99	0.0219	-0.577	0.001
3.45	0.0069	0.41	0.001	4.9	0.0173	0.571	0.001	-3.34	0.0116	-0.383	0.001	-4.8	0.0208	-0.56	0.001
3.66	0.0093	0.432	0.001	4.7	0.0155	0.553	0.001	-3.53	0.0125	-0.404	0.001	-4.6	0.0172	-0.544	0.001
3.86	0.01	0.452	0.001	4.5	0.0163	0.536	0.001	-3.73	0.0135	-0.426	0.001	-4.41	0.0173	-0.525	0.001
4.06	0.0115	0.473	0.001	4.31	0.0123	0.518	0.001	-3.93	0.0144	-0.448	0.001	-4.22	0.0174	-0.508	0.001
4.26	0.0121	0.492	0.001	4.1	0.0135	0.498	0.001	-4.13	0.015	-0.469	0.001	-4.02	0.0166	-0.489	0.001
4.47	0.0132	0.513	0.001	3.99	0.0131	0.478	0.001	-4.3	0.0149	-0.488	0.001	-3.83	0.0151	-0.469	0.001
4.68	0.0147	0.533	0.001	3.71	0.0128	0.459	0.001	-4.52	0.0175	-0.51	0.001	-3.64	0.0154	-0.449	0.001
4.88	0.0154	0.551	0.001	3.51	0.0085	0.437	0.001	-4.93	0.0196	-0.549	0.001	-3.44	0.0132	-0.428	0.001
5.08	0.0163	0.569	0.001	3.33	0.0111	0.418	0.001	-5.12	0.021	-0.567	0.001	-3.26	0.0107	-0.408	0.001
5.27	0.0186	0.585	0.001	3.14	0.0053	0.397	0.001	-5.33	0.0204	-0.586	0.001	-3.06	0.0117	-0.387	0.001
5.48	0.018	0.603	0.001	2.94	0.0063	0.374	0.001	-5.54	0.0223	-0.603	0.001	-2.87	0.0126	-0.364	0.001
5.67	0.0182	0.61	0.001	2.75	0.0042	0.352	0.001	-5.73	0.0207	-0.62	0.001	-2.68	0.0106	-0.343	0.001
5.87	0.0176	0.634	0.001	2.54	0.0035	0.329	0.001	-5.93	0.0241	-0.634	0.001	-2.49	0.0093	-0.32	0.001
6.08	0.0214	0.649	0.001	2.35	0.0042	0.306	0.001	-6.12	0.0252	-0.648	0.001	-2.3	0.0059	-0.299	0.001
6.27	0.0213	0.662	0.001	2.14	0.0046	0.281	0.0001	-6.32	0.0269	-0.662	0.001	-2.11	0.007	-0.276	0.001
6.48	0.0224	0.676	0.001	1.96	0.0032	0.2577	0.0001	-6.51	0.0255	-0.675	0.001	-1.92	0.0052	-0.2528	0.0001
6.67	0.0235	0.688	0.001	1.77	0.0037	0.2343	0.0001	-6.71	0.0269	-0.687	0.001	-1.73	0.0077	-0.2296	0.0001
6.87	0.0259	0.7	0.001	1.56	0.004	0.2096	0.0001	-6.9	0.0272	-0.699	0.001	-1.54	0.0044	-0.2064	0.0001
7.06	0.0267	0.711	0.001	1.37	0.0013	0.1856	0.0001	-7.09	0.0255	-0.71	0.001	-1.34	0.0032	-0.1818	0.0001
7.26	0.0252	0.722	0.001	1.16	-0.0034	0.1603	0.0001	-7.22	0.0271	-0.717	0.001	-1.15	0.0042	-0.1582	0.0001
7.46	0.0255	0.733	0.001	0.98	-0.0008	0.1372	0.0001	-7.39	0.0293	-0.727	0.001	-0.96	0.0029	-0.1348	0.0001
7.66	0.0275	0.742	0.001	0.77	-0.0027	0.1127	0.0001	-7.6	0.0313	-0.737	0.001	-0.77	0.0017	-0.1109	0.0001
7.85	0.0259	0.752	0.001	0.58	-0.0004	0.0884	0.0001	-7.79	0.0316	-0.747	0.001	-0.58	0.0019	-0.0877	0.0001
8.05	0.028	0.761	0.001	0.38	-0.0005	0.0638	0.0001	-7.99	0.03	-0.756	0.001	-0.38	0.0019	-0.0633	0.0001
